"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
0150,서울역,S1101,서울 도시철도 1호선,Seoul Station,首爾站,환승역,S1104+I4107,서울 도시철도 4호선+경의중앙선,37.55575305,126.9724563,서울교통공사,서울특별시 중구 세종대로 지하 2 (남대문로 5가),02-6110-1331,2021-04-09
0151,시청,S1101,서울 도시철도 1호선,City Hall,市廳,환승역,S1102,서울 도시철도 2호선,37.56471664,126.9767513,서울교통공사,서울특별시 중구 세종대로 지하 101 (정동),02-6110-1321,2021-04-09
0152,종각,S1101,서울 도시철도 1호선,Jonggak,鐘閣,일반역,,,37.57020349,126.9829483,서울교통공사,서울특별시 종로구 종로 지하 55 (종로1가),02-6110-1311,2021-04-09
0153,종로3가,S1101,서울 도시철도 1호선,Jongno 3(sam)-ga,鍾路三街,환승역,S1103+S1105,서울 도시철도 3호선+서울 도시철도 5호선,37.57139366,126.9914115,서울교통공사,서울특별시 종로구 종로 지하 129 (종로3가),02-6110-1301,2021-04-09
0154,종로5가,S1101,서울 도시철도 1호선,Jongno 5(o)-ga,鐘路五街,일반역,,,37.57100685,127.001799,서울교통공사,서울특별시 종로구 종로 지하 216  (종로5가),02-6110-1291,2021-04-09
0155,동대문,S1101,서울 도시철도 1호선,Dongdaemun,東大門,환승역,S1104,서울 도시철도 4호선,37.57129132,127.0101189,서울교통공사,서울특별시 종로구 종로 지하 302 (창신동),02-6110-1281,2021-04-09
0156,신설동,S1101,서울 도시철도 1호선,Sinseol-dong,新設洞,환승역,S1102,서울 도시철도 2호선+우이신설,37.57528723,127.0249104,서울교통공사,서울특별시 동대문구 왕산로 지하 1 (신설동),02-6110-1261,2021-04-09
0157,제기동,S1101,서울 도시철도 1호선,Jegi-dong,祭基洞,일반역,,,37.57812027,127.0344966,서울교통공사,서울특별시 동대문구 왕산로 지하 93 (제기동),02-6110-1251,2021-04-09
0158,청량리,S1101,서울 도시철도 1호선,Cheongnyangni,淸凉里,환승역,I4105+I4107+I4109,분당선+경의중앙선+경춘선,37.5801441,127.0457768,서울교통공사,서울특별시 동대문구 왕산로 지하 205(전농동),02-6110-1241,2021-04-09
0159,동묘앞,S1101,서울 도시철도 1호선,Dongmyo,東廟,환승역,S1106,서울 도시철도 6호선,37.57253741,127.0155932,서울교통공사,서울특별시 종로구 종로 359 (숭인동),02-6110-1271,2021-04-09
0200,까치산,S1102,서울 도시철도 2호선,Kkachisan,喜鵲山,일반역,,,37.53168373,126.8467432,서울교통공사,서울특별시 강서구 강서로 지하54(화곡동),02-6311-5181,2021-04-09
0201,시청,S1102,서울 도시철도 2호선,City Hall,市廳,환승역,S1101,서울 도시철도 1호선,37.56461852,126.9760864,서울교통공사,서울특별시 중구 세종대로 지하 101 (정동),02-6110-2011,2021-04-09
0202,을지로입구,S1102,서울 도시철도 2호선,Euljiro 1(il)-ga,乙支路入口,일반역,,,37.56597747,126.9825045,서울교통공사,서울특별시 중구 을지로 지하 42 (을지로1가),02-6110-2021,2021-04-09
0203,을지로3가,S1102,서울 도시철도 2호선,Euljiro 3(sam)-ga,乙支路三街,환승역,S1103,서울 도시철도 3호선,37.56634826,126.991482,서울교통공사,서울특별시 중구 을지로 지하 106 (을지로3가),02-6110-2031,2021-04-09
0204,을지로4가,S1102,서울 도시철도 2호선,Euljiro 4(sa)-ga,乙支路四街,환승역,S1105,서울 도시철도 5호선,37.56682797,126.9979016,서울교통공사,서울특별시 중구 을지로 지하 178 (을지로4가),02-6110-2041,2021-04-09
0205,동대문역사문화공원,S1102,서울 도시철도 2호선,Dongdaemun History & Culture Park,東大門歷史文化公園,환승역,S1104+S1105,서울 도시철도 4호선+서울 도시철도 5호선,37.56500251,127.007394,서울교통공사,서울특별시 중구 을지로 지하 279 (을지로7가),02-6110-2051,2021-04-09
0206,신당,S1102,서울 도시철도 2호선,Sindang,新堂,환승역,S1106,서울 도시철도 6호선,37.56582912,127.0181023,서울교통공사,서울특별시 중구 퇴계로 지하 431-1 (신당동),02-6110-2061,2021-04-09
0207,상왕십리,S1102,서울 도시철도 2호선,Sangwangsimni,上往十里,일반역,,,37.56417104,127.0293524,서울교통공사,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),02-6110-2071,2021-04-09
0208,왕십리,S1102,서울 도시철도 2호선,Wangsimni,往十里,환승역,S1105+I4105+I4107,서울 도시철도 5호선+분당선+경의중앙선,37.56152516,127.0375076,서울교통공사,서울특별시 성동구 왕십리로 지하300(행당동),02-6110-2081,2021-04-09
0209,한양대,S1102,서울 도시철도 2호선,Hanyang Univ.,漢陽大,일반역,,,37.55522179,127.0434917,서울교통공사,서울특별시 성동구 왕십리로 206 (행당동),02-6110-2091,2021-04-09
0210,뚝섬,S1102,서울 도시철도 2호선,Ttukseom,纛島,일반역,,,37.54712239,127.0473648,서울교통공사,서울특별시 성동구 아차산로 18 (성수동1가),02-6110-2101,2021-04-09
0211,성수,S1102,서울 도시철도 2호선,Seongsu,聖水,일반역,,,37.5444338,127.0559893,서울교통공사,서울특별시 성동구 아차산로 100 (성수동2가),02-6110-2111,2021-04-09
0212,건대입구,S1102,서울 도시철도 2호선,Konkuk Univ.,建大入口,환승역,S1107,서울 도시철도 7호선,37.54060889,127.0700628,서울교통공사,서울특별시 광진구 아차산로 243 (화양동),02-6110-2121,2021-04-09
0213,구의,S1102,서울 도시철도 2호선,Guui,九宜,일반역,,,37.53691864,127.0857297,서울교통공사,서울특별시 광진구 아차산로 384-1 (구의동),02-6110-2131,2021-04-09
0214,강변,S1102,서울 도시철도 2호선,Gangbyeon,江邊,일반역,,,37.53487706,127.0946944,서울교통공사,서울특별시 광진구 강변역로 53 (구의동),02-6110-2141,2021-04-09
0215,잠실나루,S1102,서울 도시철도 2호선,Jamsillaru,蠶室渡口,일반역,,,37.52054808,127.1036977,서울교통공사,서울특별시 송파구 오금로 20 (신천동),02-6110-2151,2021-04-09
0216,잠실,S1102,서울 도시철도 2호선,Jamsil,蠶室,환승역,S1108,서울 도시철도 8호선,37.51376934,127.1021882,서울교통공사,서울특별시 송파구 올림픽로 지하 265 (잠실동),02-6110-2161,2021-04-09
0217,잠실새내,S1102,서울 도시철도 2호선,Jamsilsaenae,蠶室-驛,일반역,,,37.51141143,127.0860068,서울교통공사,서울특별시 송파구 올림픽로 지하 140 (잠실동),02-6110-2171,2021-04-09
0218,종합운동장,S1102,서울 도시철도 2호선,Sports Complex,綜合運動場,환승역,S1109,서울 도시철도 9호선,37.51106095,127.073542,서울교통공사,서울특별시 송파구 올림픽로 지하 23 (잠실동),02-6110-2181,2021-04-09
0219,삼성,S1102,서울 도시철도 2호선,Samseong,三成,일반역,,,37.5086936,127.063165,서울교통공사,서울특별시 강남구 테헤란로 지하 538 (삼성동),02-6110-2191,2021-04-09
0220,선릉,S1102,서울 도시철도 2호선,Seolleung,宣陵,환승역,I4105,분당선,37.50437895,127.0486966,서울교통공사,서울특별시 강남구 테헤란로 지하 340 (삼성동),02-6110-2201,2021-04-09
0221,역삼,S1102,서울 도시철도 2호선,Yeoksam,驛三,일반역,,,37.50054496,127.0363944,서울교통공사,서울특별시 강남구 테헤란로 지하 156 (역삼동),02-6110-2211,2021-04-09
0222,강남,S1102,서울 도시철도 2호선,Gangnam,江南,환승역,I1102,신분당선,37.49720244,127.0280537,서울교통공사,서울특별시 강남구 강남대로 지하 396 (역삼동),02-6110-2221,2021-04-09
